E100000893_L01_1,NODE_92_length_1018_cov_6.018576_g56_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_205_length_687_cov_8.288401_g145_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_212_length_664_cov_3.455285_g152_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_258_length_570_cov_3.464491_g196_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_264_length_562_cov_4.249513_g202_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_292_length_530_cov_5.465696_g230_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae; Morbillivirus.
E100000893_L01_1,NODE_310_length_516_cov_3.687366_g248_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_352_length_478_cov_3.149184_g286_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_407_length_425_cov_1.664894_g340_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_419_length_418_cov_3.338753_g352_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
E100000893_L01_1,NODE_432_length_409_cov_3.061111_g365_i0,1.0,1,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Monjiviricetes; Mononegavirales; Paramyxoviridae.
